|target|source|comment
0|аквъёт э̄ргын ма̄хум|хор|
1|агтуӈкве|верить|
2|агтуӈкве|поверить|
3|аквъюипа̄лт|подряд|
4|аквъюипа̄лт|друг за другом|
5|аквъяныт|равный|по размеру
6|аки|дед|
7|акван-юрысьхатуӈкве|объединиться|
8|алгаль|вверх|по реке
9|алн|в верховье реки|
10|алпи|тело|
11|алпӣсов|кожа|человека
12|алпӣхар|поверхность тела человека|
13|агтыл|убеждение|
14|агылтта̄нтуӈкве|уверять|
15|аигла̄луӈкве|пить|много раз
16|айтуӈкве|поить|
17|айтуӈкве|напоить|
18|акв|единица|
19|аква|один|
20|аква|одна|
21|акваг|всегда|
22|акваг|постоянно|
23|акваг|навсегда|
24|аквалаг|подряд|
25|акван|приставка|
26|акван|указывает на совместимость действия|
27|акван-атха̄тыл|слёт|
28|акван-атха̄тыл|сбор|
29|акван-юрсюӈкве|объединить|
30|акван-юрсюӈкве|соединить|
31|акван-атыгла̄лункве|собирать|
32|алсиӈ|вооруженный|
33|акван-ёхтуӈкве|съехаться|
34|акван-консуӈкве|сгрести|
35|акван-мо̄ртуӈкве|сравнить|
36|акван-мо̄ртыгла̄луӈкве|сравнивать|
37|акван-мо̄ртыл|сравнение|
38|акван-нэ̄гсала̄лыглаӈкве|связывать|
39|акван-нэ̄гсала̄лыглаӈкве|увязывать|
40|акван-нэ̄гсалаӈкве|связать|
41|акван-нэ̄гсалаӈкве|увязать|
42|акван-нэ̄гсалахтуӈкве|связаться|
43|акван-о̄лтуӈкве|соединить|
44|акван-о̄лтуӈкве|скрепить|
45|акван-пинуӈкве|сложить|
46|акван-ро̄влаӈкве|согласовать|
47|акван-ро̄влаӈкве|подогнать|
48|акван-ро̄влахтуӈкве|согласоваться|
49|акван-тыламла̄лалыглаӈкве|слетаться|
50|акван-тэ̄лыгла̄луӈкве|смешиваться|
51|акван-тэ̄лыгла̄луӈкве|соединяться|
52|акван-тэ̄лыглаӈкве|смешаться|
53|акван-тэ̄лыглаӈкве|соединиться|
54|акван-тэ̄лыгта̄лыглаӈкве|смешивать|
55|акван-тэ̄лыгта̄лыглаӈкве|соединять|
56|акван-тэ̄лыгта̄лыглаӈкве|составлять|
57|акван-тэ̄лыгтаӈкве|смешать|
58|акван-тэ̄лыгтаӈкве|соединить|
59|акван-ӯнттала̄лыглаӈкве|составлять|
60|акван-ӯнтталаӈкве|составить|в определённом порядке
61|акван-ӯнтталаӈкве|поставить|
62|акван-ха̄йтуӈкве|сбежаться|
63|акван-ханала̄луӈкве|склеивать|
64|акван-ханлаӈкве|склеить|
